organSelected,peakachuFilename,gtexFilename,gtexHelperFilename,abcFilename
adrenal-gland,Schmitt_2016.Adrenal.hg38.peakachu-merged.loops,Adrenal_Gland.v8.signif_variant_gene_pairs-cleaned.txt.gz,Adrenal_Gland.v8.egenes-filtered.txt.gz,none
aorta,Leung_2015.Aorta.hg38.peakachu-merged.loops,Artery_Aorta.v8.signif_variant_gene_pairs-cleaned.txt.gz,Artery_Aorta.v8.egenes-filtered.txt.gz,none
hippocampus,Schmitt_2016.Hippocampus.hg38.peakachu-merged.loops,Brain_Hippocampus.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Hippocampus.v8.egenes-filtered.txt.gz,none
left-ventricle,Leung_2015.VentricleLeft.hg38.peakachu-merged.loops,Heart_Left_Ventricle.v8.signif_variant_gene_pairs-cleaned.txt.gz,Heart_Left_Ventricle.v8.egenes-filtered.txt.gz,none
liver,Leung_2015.Liver.hg38.peakachu-merged.loops,Liver.v8.signif_variant_gene_pairs-cleaned.txt.gz,Liver.v8.egenes-filtered.txt.gz,none
lung,Schmitt_2016.Lung.hg38.peakachu-merged.loops,Lung.v8.signif_variant_gene_pairs-cleaned.txt.gz,Lung.v8.egenes-filtered.txt.gz,none
ovary,Schmitt_2016.Ovary.hg38.peakachu-merged.loops,Ovary.v8.signif_variant_gene_pairs-cleaned.txt.gz,Ovary.v8.egenes-filtered.txt.gz,none
pancreas,Schmitt_2016.Pancreas.hg38.peakachu-merged.loops,Pancreas.v8.signif_variant_gene_pairs-cleaned.txt.gz,Pancreas.v8.egenes-filtered.txt.gz,none
small-intestines,Schmitt_2016.Bowel_Small.hg38.peakachu-merged.loops,Small_Intestine_Terminal_Ileum.v8.signif_variant_gene_pairs-cleaned.txt.gz,Small_Intestine_Terminal_Ileum.v8.egenes-filtered.txt.gz,none
spleen,Schmitt_2016.Spleen.hg38.peakachu-merged.loops,Spleen.v8.signif_variant_gene_pairs-cleaned.txt.gz,Spleen.v8.egenes-filtered.txt.gz,none
bladder,Schmitt_2016.Bladder.hg38.peakachu-merged.loops,none,none,none
dorsolateral-prefrontal-cortex,Schmitt_2016.Cortex_DLPFC.hg38.peakachu-merged.loops,none,none,none
psoas-muscle,Schmitt_2016.Psoas.hg38.peakachu-merged.loops,none,none,none
right-ventricle,Schmitt_2016.Ventricle_Right.hg38.peakachu-merged.loops,none,none,none
thymus,Leung_2015.Thymus.hg38.peakachu-merged.loops,none,none,none
subcutaneous-adipose,none,Adipose_Subcutaneous.v8.signif_variant_gene_pairs-cleaned.txt.gz,Adipose_Subcutaneous.v8.egenes-filtered.txt.gz,none
omentum-visceral-adipose,none,Adipose_Visceral_Omentum.v8.signif_variant_gene_pairs-cleaned.txt.gz,Adipose_Visceral_Omentum.v8.egenes-filtered.txt.gz,none
coronary-artery,none,Artery_Coronary.v8.signif_variant_gene_pairs-cleaned.txt.gz,Artery_Coronary.v8.egenes-filtered.txt.gz,none
tibial-artery,none,Artery_Tibial.v8.signif_variant_gene_pairs-cleaned.txt.gz,Artery_Tibial.v8.egenes-filtered.txt.gz,none
amygdala,none,Brain_Amygdala.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Amygdala.v8.egenes-filtered.txt.gz,none
basal-ganglia-caudate,none,Brain_Caudate_basal_ganglia.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Caudate_basal_ganglia.v8.egenes-filtered.txt.gz,none
basal-ganglia-nucleus-accumbens,none,Brain_Nucleus_accumbens_basal_ganglia.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Nucleus_accumbens_basal_ganglia.v8.egenes-filtered.txt.gz,none
basal-ganglia-putamen,none,Brain_Putamen_basal_ganglia.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Putamen_basal_ganglia.v8.egenes-filtered.txt.gz,none
spinal-cord-cervical-c1,none,Brain_Spinal_cord_cervical_c-1.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Spinal_cord_cervical_c-1.v8.egenes-filtered.txt.gz,none
cerebellum,none,Brain_Cerebellum.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Cerebellum.v8.egenes-filtered.txt.gz,none
brain-cortex,none,Brain_Cortex.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Cortex.v8.egenes-filtered.txt.gz,none
hypothalamus,none,Brain_Hypothalamus.v8.signif_variant_gene_pairs-cleaned.txt.gz,Brain_Hypothalamus.v8.egenes-filtered.txt.gz,none
breast-mammary,none,Breast_Mammary_Tissue.v8.signif_variant_gene_pairs-cleaned.txt.gz,Breast_Mammary_Tissue.v8.egenes-filtered.txt.gz,none
sigmoid-colon,none,Colon_Sigmoid.v8.signif_variant_gene_pairs-cleaned.txt.gz,Colon_Sigmoid.v8.egenes-filtered.txt.gz,none
transverse-colon,none,Colon_Transverse.v8.signif_variant_gene_pairs-cleaned.txt.gz,Colon_Transverse.v8.egenes-filtered.txt.gz,none
esophagus-GE-junction,none,Esophagus_Gastroesophageal_Junction.v8.signif_variant_gene_pairs-cleaned.txt.gz,Esophagus_Gastroesophageal_Junction.v8.egenes-filtered.txt.gz,none
renal-cortex,none,Kidney_Cortex.v8.signif_variant_gene_pairs-cleaned.txt.gz,Kidney_Cortex.v8.egenes-filtered.txt.gz,none
skeletal-muscle,none,Muscle_Skeletal.v8.signif_variant_gene_pairs-cleaned.txt.gz,Muscle_Skeletal.v8.egenes-filtered.txt.gz,none
pituitary,none,Pituitary.v8.signif_variant_gene_pairs-cleaned.txt.gz,Pituitary.v8.egenes-filtered.txt.gz,none
prostate,none,Prostate.v8.signif_variant_gene_pairs-cleaned.txt.gz,Prostate.v8.egenes-filtered.txt.gz,none
stomach,none,Stomach.v8.signif_variant_gene_pairs-cleaned.txt.gz,Stomach.v8.egenes-filtered.txt.gz,none
testis,none,Testis.v8.signif_variant_gene_pairs-cleaned.txt.gz,Testis.v8.egenes-filtered.txt.gz,none
uterus,none,Uterus.v8.signif_variant_gene_pairs-cleaned.txt.gz,Uterus.v8.egenes-filtered.txt.gz,none
vagina,none,Vagina.v8.signif_variant_gene_pairs-cleaned.txt.gz,Vagina.v8.egenes-filtered.txt.gz,none
whole-blood,none,Whole_Blood.v8.signif_variant_gene_pairs-cleaned.txt.gz,Whole_Blood.v8.egenes-filtered.txt.gz,none
